약수터명,소재지도로명주소,소재지지번주소,위도,경도,지정일자,일평균이용인구수,수질검사일자,수질검사결과구분,부적합항목,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
흥덕사,경기도 양주시 남면 감악산로 200-160,경기도 양주시 남면 구암리 6-1,37.8824136071,126.9869504687,2002-12-10,50,2019-04-17,적합,,031-8082-6832,경기도 양주시청,2019-05-16,5590000,경기도 양주시
선창샘약수터,,경상남도 거제시 둔덕면 하둔리 363-1,34.8373035146,128.5049516124,,20,2019-06-28,적합,,055-639-4895,경상남도 거제시청,2019-07-25,5370000,경상남도 거제시
앵산약수터,,경상남도 거제시 하청면 유계리 산127-1,34.9397268851,128.6292457431,,20,2019-06-28,적합,,055-639-4895,경상남도 거제시청,2019-07-25,5370000,경상남도 거제시
참샘약수터,,경상남도 거제시 연초면 덕치리 산83,34.9403975189,128.6551019446,,10,2019-06-28,적합,,055-639-4895,경상남도 거제시청,2019-07-25,5370000,경상남도 거제시
일운약수터,,경상남도 거제시 일운면 와현리 산34-15,34.8192353326,128.7095121735,,50,2019-06-28,적합,,055-639-4895,경상남도 거제시청,2019-07-25,5370000,경상남도 거제시
옹달샘약수터,,서울특별시 금천구 시흥동 산83-39,37.446146,126.914125,,200,2018-07-23,부적합,총대장균군,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
호천약수터,,서울특별시 금천구 시흥동 산91-12,37.446025,126.918504,,650,2018-08-06,적합,,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
호암2약수터,,서울특별시 금천구 시흥동 산95,37.45154228,126.925278,,180,2018-07-23,부적합,총대장균군,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
잣나무약수터,,서울특별시 금천구 시흥동 산93-1,37.450393,126.924878,,150,2018-07-23,적합,,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
감로수약수터,,서울특별시 금천구 시흥동 산108-4,37.45590122,126.9171342,,50,2018-08-06,부적합,수원고갈,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
삼정약수터,,서울특별시 금천구 시흥동 산108-4,37.45590122,126.9171342,,200,2018-08-06,부적합,총대장균군,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
오리나무약수터,,서울특별시 금천구 시흥동 산108-4,37.45590122,126.9171342,,70,2018-08-06,부적합,총대장균군,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
순흥약수터,,서울특별시 금천구 시흥동 산126-1,37.45764834,126.9083406,,70,2018-08-06,부적합,총대장균군,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
시호천약수터,,서울특별시 금천구 시흥동 산137,37.464864,126.909772,,180,2018-08-06,부적합,총대장균군,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
만수천약수터,,서울특별시 금천구 독산동 산8,37.47419698,126.9087871,,300,2018-08-06,적합,,02-2627-1665,서울특별시 금천구청,2019-09-04,3170000,서울특별시 금천구
비야골약수터,충청북도 옥천군 군북면 비야대정로 2길 38,충청북도 옥천군 군북면 증약리 326-6,36.35579918,127.5288215,1999-09-13,10,2019-03-21,적합,,043-730-4836,충청북도 옥천군청,2019-09-01,4430000,충청북도 옥천군
교평약수터,,충청북도 옥천군 청산면 교평리 367,36.356014,127.800621,2010-09-09,10,2018-11-29,적합,,043-730-4836,충청북도 옥천군청,2019-09-01,4430000,충청북도 옥천군
덕의봉약수터,,충청북도 옥천군 청산면 백운리 산15,36.353132,127.7859739138,2010-09-09,10,2019-03-21,부적합,일반세균,043-730-4836,충청북도 옥천군청,2019-09-01,4430000,충청북도 옥천군
가산사우물,,충청북도 옥천군 안내면 답양리 543,36.40162588,127.5975756224,2010-09-09,10,2019-03-21,적합,,043-730-4836,충청북도 옥천군청,2019-09-01,4430000,충청북도 옥천군
월외우물,충청북도 옥천군 안내면 월외3길 12-1,충청북도 옥천군 안내면 월외리 424,36.42861171,127.641632,2010-09-09,10,2018-11-29,적합,,043-730-4836,충청북도 옥천군청,2019-09-01,4430000,충청북도 옥천군
만수정,,부산광역시 부산진구 초읍동 산98-1,35.1901532991,129.0345978221,,100,2019-08-01,적합,,051-605-4382,부산광역시 부산진구청,2019-08-01,3290000,부산광역시 부산진구
동화사제2약수터,대구광역시 동구 동화사1길 1,대구광역시 동구 도학동 35,35.992911,128.703997,1997-07-09,50,2019-03-21,적합,,053-662-2606,대구광역시 동구청,2019-05-30,3420000,대구광역시 동구
약천,,경상남도 통영시 미수동 652,34.8230493258,128.3988350201,,80,2020-02-07,적합,무,055-650-6417,경상남도 통영시청,2020-03-16,5330000,경상남도 통영시
원당골,,경상남도 통영시 미수동 186-3,34.8257670287,128.4091768675,,80,2020-02-07,적합,무,055-650-6417,경상남도 통영시청,2020-03-16,5330000,경상남도 통영시
선금산,,경상남도 통영시 미수동 602-2,34.8206923320,128.4039486993,,80,2020-02-07,적합,무,055-650-6417,경상남도 통영시청,2020-03-16,5330000,경상남도 통영시
미륵등,,경상남도 통영시 산양읍 영운리 산189,34.8139950641,128.4196184172,,80,2020-02-07,적합,무,055-650-6417,경상남도 통영시청,2020-03-16,5330000,경상남도 통영시
만수정,,부산광역시 북구 만덕동 산152-2,35.1985687,129.0327847,,100,2019-01-07,적합,,051-309-4387,부산광역시 북구청,2019-05-21,3320000,부산광역시 북구
백수정,,부산광역시 북구 만덕동 산149,35.2002978,129.0371773,,250,2019-01-07,적합,,051-309-4387,부산광역시 북구청,2019-05-21,3320000,부산광역시 북구
삼정,,부산광역시 북구 만덕동 843,35.2061597138,129.035563713,,250,2019-01-07,적합,,051-309-4387,부산광역시 북구청,2019-05-21,3320000,부산광역시 북구
병풍사,,부산광역시 북구 만덕동 산77-1,35.2159615,129.0510295,,250,2019-01-07,적합,,051-309-4387,부산광역시 북구청,2019-05-21,3320000,부산광역시 북구
백양산체육공원,,부산광역시 북구 구포동 산48-135,35.1964182,129.0163737,,250,2019-01-24,적합,,051-309-4387,부산광역시 북구청,2019-05-21,3320000,부산광역시 북구
선강(하),,부산광역시 북구 구포동 산42-1,35.1948948,128.9990817,,270,2019-01-07,적합,,051-309-4387,부산광역시 북구청,2019-05-21,3320000,부산광역시 북구
참샘물2호약수터,,경기도 광명시 소하2동 359-1,37.4401885928,126.8750180028,2008-01-21,225,2018-08-13,부적합,"총대장균군,분원성대장균군",02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
참샘물1호약수터,,경기도 광명시 소하2동 359-1,37.4401885928,126.8750180028,2008-01-21,225,2018-08-13,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
산막이약수터,,충청북도 괴산군 칠성면 사은리 산44-2,36.754088,127.8228554,2009-12-16,200,2019-01-18,적합,,043-830-3637,괴산군수도사업소,2019-04-30,4460000,충청북도 괴산군
찬물내기,,울산광역시 북구 양정동 산 33-2,35.5655678,129.399482,2004-12-03,150,2019-08-19,적합,,052-241-7765,울산광역시 북구청,2019-09-18,6310000,울산광역시
송정,,울산광역시 북구 연암동 산48,35.5864439,129.389558,2006-10-24,100,2019-08-19,적합,,052-241-7765,울산광역시 북구청,2019-09-18,6310000,울산광역시
무룡산,,울산광역시 북구 송정동 산 14-1,35.6045468,129.380398,2006-04-07,100,2019-08-19,적합,,052-241-7765,울산광역시 북구청,2019-09-18,6310000,울산광역시
매봉약수터,,경상북도 문경시 모전동 산123-18,36.596224,128.182757,1995-08-16,70,2019-04-19,적합,무,054-550-8344,경상북도 문경시청,2019-04-19,5120000,경상북도 문경시
성림약수터,,경상북도 문경시 흥덕동 5-1,36.6044587,128.196568,1995-08-16,80,2019-04-19,적합,무,054-550-8344,경상북도 문경시청,2019-04-19,5120000,경상북도 문경시
돈달약수터,,경상북도 문경시 점촌동 15-10,36.604458,128.196568,1995-08-16,70,2019-04-19,적합,무,054-550-8344,경상북도 문경시청,2019-04-19,5120000,경상북도 문경시
마지막골약수터,,경상북도 문경시 불정동 339-8,36.621964179,128.135857118,1995-08-16,230,2019-04-19,적합,무,054-550-8344,경상북도 문경시청,2019-04-19,5120000,경상북도 문경시
조령약수터,,경상북도 문경시 문경읍 상초리 552-1,36.810011,128.058369,1995-08-16,300,2019-04-19,적합,무,054-550-8344,경상북도 문경시청,2019-04-19,5120000,경상북도 문경시
조곡약수터,,경상북도 문경시 문경읍 상초리 산42-36,36.792423,128.064591,1995-08-16,400,2019-04-19,적합,무,054-550-8344,경상북도 문경시청,2019-04-19,5120000,경상북도 문경시
하안4호약수터,,경기도 광명시 하안1동 산50,37.4636216553,126.8586025367,2008-01-21,150,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
하안3호약수터,,경기도 광명시 하안1동 산50,37.4636216553,126.8586025367,2008-01-21,250,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
체육공원약수터,,경기도 광명시 광명7동 산75,,,2008-01-21,450,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
천연약수터,,경기도 광명시 노온사동 산141-11,,,2008-01-21,75,2019-03-04,부적합,채수량부족,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
참샘물2호약수터,,경기도 광명시 소하2동 359-1,37.4401885928,126.8750180028,2008-01-21,225,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
참샘물1호약수터,,경기도 광명시 소하2동 359-1,37.4401885928,126.8750180028,2008-01-21,225,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
진달래약수터,,경기도 광명시 노온사동 산141-11,,,2008-01-21,150,2019-03-04,부적합,채수량부족,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
절골약수터,,경기도 광명시 소하2동 산137-9,37.4272920606,126.8773171232,2008-01-21,375,2019-03-04,부적합,"일반세균, 총대장균군, 분원성대장균군, 암모니아성질소, 질산성질소, 과망간산칼륨소비랑",02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
영회원약수터,,경기도 광명시 노온사동 산141-11,,,2011-03-04,10,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
양묘장약수터,,경기도 광명시 하안1동 산69-4,37.4609715269,126.8576399840,2011-03-04,15,2019-03-04,부적합,채수량부족,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
애기능약수터,,경기도 광명시 노온사동 산141-11,,,2008-01-21,75,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
설월리약수터,,경기도 광명시 소하2동 산58,37.4434094523,126.8673328721,2011-03-04,20,2019-03-04,부적합,"일반세균, 총대장균군, 분원성대장균군, 암모니아성질소, 질산성질소, 과망간산칼륨소비랑",02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
새미약수터,,경기도 광명시 노온사동 산141-1,,,2008-01-21,75,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
금당2호약수터,,경기도 광명시 하안1동 산141-3,37.4553333251,126.8789576267,2008-01-21,150,2019-03-04,부적합,채수량부족,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
금당1호약수터,,경기도 광명시 하안1동 산141-3,37.4553333251,126.8789576267,2008-01-21,150,2019-03-04,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
하안4호약수터,,경기도 광명시 하안1동 산50,37.4636216553,126.8586025367,2008-01-21,150,2018-08-13,부적합,총대장균군,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
하안3호약수터,,경기도 광명시 하안1동 산50,37.4636216553,126.8586025367,2008-01-21,250,2018-08-13,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
체육공원약수터,,경기도 광명시 광명7동 산75,,,2008-01-21,450,2018-08-13,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
천연약수터,,경기도 광명시 노온사동 산141-11,,,2008-01-21,75,2018-08-13,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2017-09-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2017-09-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2017-09-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2017-09-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-09-26,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-09-26,부적합,"총대장균군(검출), 분원성 대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-09-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2017-09-26,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2017-09-26,부적합,"분원성 대장균군(검출) ,총대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2017-09-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2017-09-26,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2017-09-26,부적합,"총대장균군(검출), 분원성 대장균군(검출),일반세균(110)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2017-09-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-09-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2017-10-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2018-07-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2017-10-24,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2017-10-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2017-10-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-10-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-10-24,부적합,"분원성 대장균군(검출) ,총대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-10-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2017-10-24,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2017-10-24,부적합,"분원성 대장균군(검출) ,총대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2017-10-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2017-10-24,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2017-10-24,부적합,"총대장균군(검출), 분원성 대장균군(검출),일반세균(110)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2017-10-24,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-10-24,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2017-11-29,부적합,"분원성 대장균군(검출) ,총대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2017-11-29,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2017-11-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2017-11-29,부적합,"분원성 대장균군(검출) ,총대장균군(검출),일반세균",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-11-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-11-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-11-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2017-11-29,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2017-11-29,부적합,"분원성 대장균군(검출) ,총대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2017-11-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2017-11-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2017-11-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2017-11-29,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-11-29,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2017-12-22,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2017-12-22,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2017-12-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2017-12-22,부적합,"분원성 대장균군(검출) ,총대장균군(검출)",031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2017-12-22,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2017-12-22,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2018-01-29,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2018-01-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2018-01-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2018-01-29,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2018-01-29,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2018-01-29,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2018-01-29,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2018-01-29,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2018-02-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2018-02-26,부적합,총대장균군(검출),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2018-02-26,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2018-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
